Rooms_Number;Street;House_Number;Metro_m;Stor;Storeys;Wall;Space_Total;Value_abs;Date_Create
1;Оловозаводская;12/1;6340;1;6;Кирпич;32,5;1450000;22.08.2016
1;Оловозаводская;12/1;6340;2;6;Кирпич;33,8;1650000;30.01.2017
1;Оловозаводская;12/1;6340;6;6;Кирпич;37,2;2250000;28.10.2014
1;Оловозаводская;12/1;6340;6;6;Кирпич;36,4;1960000;19.08.2014
1;Оловозаводская;12/1;6340;2;6;Кирпич;35,3;1950000;28.02.2014
1;Оловозаводская;12/1;6340;2;6;Кирпич;34;1700000;23.11.2011
1;Оловозаводская;12/1;6340;5;6;Кирпич;31,6;1550000;26.10.2016
1;Шатурская;4;19820;17;17;Кирпич;35,27;2330000;15.02.2017
1;Планировочная;37;0;5;10;;33;1900000;30.08.2018
2;Сухарная;76/3;3730;14;15;Кирпич;57,1;3850000;17.04.2014
3;Сухарная;76/3;3730;13;15;Кирпич;74,2;5450000;11.02.2015
2;Сухарная;76/3;3730;7;10;Кирпич;57,2;3300000;06.07.2005
3;Сухарная;76/3;3730;5;15;Кирпич;76,3;4950000;06.12.2013
2;Сухарная;76/3;3730;4;17;Кирпич;57,1;3500000;31.07.2015
1;Сухарная;76/3;3730;13;15;Кирпич;37,1;2300000;06.12.2017
2;Народная;16/1;3210;1;5;Панель;44,4;1850000;30.01.2017
3;Народная;16/1;3210;1;5;Панель;58;2900000;30.01.2014
2;Чкалова;70/1;4390;1;9;Кирпич;52;2400000;21.02.2018
2;Чкалова;70/1;4390;4;9;Кирпич;47;3100000;01.12.2014
2;Чкалова;70/1;4390;4;9;Кирпич;48,5;2550000;08.12.2016